"Country name,Year,Shock category,Shock type,count"
"Afghanistan,1999,ECOLOGICAL,Infectious disease,0.020216267042783263"
"Afghanistan,1999,GEOPHYSICAL,Earthquake,0.011827956989247311"
"Afghanistan,2000,CLIMATIC,Drought,0.013002364066193853"
"Afghanistan,2000,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Afghanistan,2000,CONFLICTS,Terrorist attack,0.0011822145796229195"
"Afghanistan,2000,ECOLOGICAL,Infectious disease,0.010108133521391631"
"Afghanistan,2000,ECONOMIC,Currency Crises,0.0060307017543859654"
"Afghanistan,2000,TECHNOLOGICAL,Collapse (Miscellaneous),0.010007322431047109"
"Afghanistan,2001,CLIMATIC,Extreme temperature,0.029016277423920735"
"Afghanistan,2001,CONFLICTS,Interstate conflict,0.042431192660550454"
"Afghanistan,2001,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Afghanistan,2001,CONFLICTS,Terrorist attack,0.0011822145796229195"
"Afghanistan,2001,ECOLOGICAL,Crops,0.08333333333333333"
"Afghanistan,2001,ECOLOGICAL,Fisheries,0.09788359788359789"
"Afghanistan,2001,ECOLOGICAL,Infectious disease,0.005054066760695816"
"Afghanistan,2001,ECONOMIC,Currency Crises,0.0060307017543859654"
"Afghanistan,2001,GEOPHYSICAL,Earthquake,0.023655913978494623"
"Afghanistan,2001,TECHNOLOGICAL,Air,0.00327210530229791"
"Afghanistan,2002,CLIMATIC,Flood,0.00741489720256151"
"Afghanistan,2002,CLIMATIC,Mass movement (wet),0.01284296555750146"
"Afghanistan,2002,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Afghanistan,2002,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Afghanistan,2002,CONFLICTS,Terrorist attack,0.0032088681446907816"
"Afghanistan,2002,ECOLOGICAL,Infectious disease,0.010108133521391631"
"Afghanistan,2002,ECONOMIC,Currency Crises,0.0060307017543859654"
"Afghanistan,2002,GEOPHYSICAL,Earthquake,0.035483870967741936"
"Afghanistan,2002,TECHNOLOGICAL,Explosion (Miscellaneous),0.022099447513812157"
"Afghanistan,2002,TECHNOLOGICAL,Road,0.001977687626774848"
"Afghanistan,2003,CLIMATIC,Flood,0.01482979440512302"
"Afghanistan,2003,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Afghanistan,2003,CONFLICTS,Terrorist attack,0.008444389854449426"
"Afghanistan,2003,ECOLOGICAL,Infectious disease,0.010108133521391631"
"Afghanistan,2003,ECONOMIC,Currency Crises,0.0060307017543859654"
"Afghanistan,2003,GEOPHYSICAL,Earthquake,0.011827956989247311"
"Afghanistan,2003,TECHNOLOGICAL,Explosion (Miscellaneous),0.011049723756906079"
"Afghanistan,2004,CLIMATIC,Flood,0.003707448601280755"
"Afghanistan,2004,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Afghanistan,2004,CONFLICTS,Terrorist attack,0.007431063071915495"
"Afghanistan,2004,ECONOMIC,Currency Crises,0.0060307017543859654"
"Afghanistan,2004,GEOPHYSICAL,Earthquake,0.011827956989247311"
"Afghanistan,2004,TECHNOLOGICAL,Collapse (Industrial),0.016227180527383367"
"Afghanistan,2004,TECHNOLOGICAL,Explosion (Industrial),0.00401899890390939"
"Afghanistan,2004,TECHNOLOGICAL,Miscellaneous accident (General),0.012170385395537527"
"Afghanistan,2005,CLIMATIC,Extreme temperature,0.014508138711960368"
"Afghanistan,2005,CLIMATIC,Flood,0.01482979440512302"
"Afghanistan,2005,CLIMATIC,Storm,0.002355712603062426"
"Afghanistan,2005,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Afghanistan,2005,CONFLICTS,Terrorist attack,0.01308880427439661"
"Afghanistan,2005,ECOLOGICAL,Infectious disease,0.005054066760695816"
"Afghanistan,2005,ECONOMIC,Currency Crises,0.0060307017543859654"
"Afghanistan,2005,GEOPHYSICAL,Earthquake,0.023655913978494623"
"Afghanistan,2005,TECHNOLOGICAL,Air,0.00654421060459582"
"Afghanistan,2005,TECHNOLOGICAL,Collapse (Miscellaneous),0.010007322431047109"
"Afghanistan,2005,TECHNOLOGICAL,Explosion (Miscellaneous),0.011049723756906079"
"Afghanistan,2005,TECHNOLOGICAL,Road,0.001977687626774848"
"Afghanistan,2006,CLIMATIC,Drought,0.013002364066193853"
"Afghanistan,2006,CLIMATIC,Flood,0.012976070104482642"
"Afghanistan,2006,CLIMATIC,Mass movement (wet),0.02568593111500292"
"Afghanistan,2006,CLIMATIC,Storm,0.004711425206124852"
"Afghanistan,2006,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Afghanistan,2006,CONFLICTS,Terrorist attack,0.023897623288091877"
"Afghanistan,2006,ECONOMIC,Currency Crises,0.0060307017543859654"
"Afghanistan,2006,GEOPHYSICAL,Earthquake,0.011827956989247311"
"Afghanistan,2006,TECHNOLOGICAL,Air,0.00654421060459582"
"Afghanistan,2007,CLIMATIC,Flood,0.012976070104482642"
"Afghanistan,2007,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Afghanistan,2007,CONFLICTS,Terrorist attack,0.028879813302217037"
"Afghanistan,2007,ECONOMIC,Currency Crises,0.0060307017543859654"
"Afghanistan,2007,TECHNOLOGICAL,Road,0.000988843813387424"
"Afghanistan,2008,CLIMATIC,Drought,0.013002364066193853"
"Afghanistan,2008,CLIMATIC,Extreme temperature,0.014508138711960368"
"Afghanistan,2008,CLIMATIC,Flood,0.0018537243006403776"
"Afghanistan,2008,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Afghanistan,2008,CONFLICTS,Terrorist attack,0.034959773997420625"
"Afghanistan,2008,ECONOMIC,Currency Crises,0.0060307017543859654"
"Afghanistan,2008,TECHNOLOGICAL,Road,0.000988843813387424"
"Afghanistan,2009,CLIMATIC,Flood,0.005561172901921132"
"Afghanistan,2009,CLIMATIC,Mass movement (wet),0.01284296555750146"
"Afghanistan,2009,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Afghanistan,2009,CONFLICTS,Terrorist attack,0.04247528096788061"
"Afghanistan,2009,ECOLOGICAL,Infectious disease,0.005054066760695816"
"Afghanistan,2009,GEOPHYSICAL,Earthquake,0.011827956989247311"
"Afghanistan,2009,TECHNOLOGICAL,Air,0.009816315906893733"
"Afghanistan,2010,CLIMATIC,Flood,0.003707448601280755"
"Afghanistan,2010,CLIMATIC,Mass movement (wet),0.02568593111500292"
"Afghanistan,2010,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Afghanistan,2010,CONFLICTS,Terrorist attack,0.04576859301111589"
"Afghanistan,2010,ECONOMIC,Currency Crises,0.0060307017543859654"
"Afghanistan,2010,GEOPHYSICAL,Earthquake,0.011827956989247311"
"Afghanistan,2010,TECHNOLOGICAL,Air,0.00327210530229791"
"Afghanistan,2010,TECHNOLOGICAL,Collapse (Miscellaneous),0.010007322431047109"
"Afghanistan,2010,TECHNOLOGICAL,Road,0.001977687626774848"
"Afghanistan,2011,CLIMATIC,Drought,0.013002364066193853"
"Afghanistan,2011,CLIMATIC,Flood,0.003707448601280755"
"Afghanistan,2011,CLIMATIC,Storm,0.002355712603062426"
"Afghanistan,2011,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Afghanistan,2011,CONFLICTS,Terrorist attack,0.035550881287232085"
"Afghanistan,2011,ECONOMIC,Currency Crises,0.0060307017543859654"
"Afghanistan,2011,TECHNOLOGICAL,Road,0.0029665314401622718"
"Afghanistan,2012,CLIMATIC,Extreme temperature,0.014508138711960368"
"Afghanistan,2012,CLIMATIC,Flood,0.011122345803842264"
"Afghanistan,2012,CLIMATIC,Mass movement (wet),0.03852889667250438"
"Afghanistan,2012,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Afghanistan,2012,CONFLICTS,Terrorist attack,0.12404808696186206"
"Afghanistan,2012,ECONOMIC,Currency Crises,0.0060307017543859654"
"Afghanistan,2012,GEOPHYSICAL,Earthquake,0.011827956989247311"
"Afghanistan,2012,TECHNOLOGICAL,Road,0.000988843813387424"
"Afghanistan,2013,CLIMATIC,Flood,0.00741489720256151"
"Afghanistan,2013,CLIMATIC,Mass movement (wet),0.01284296555750146"
"Afghanistan,2013,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Afghanistan,2013,CONFLICTS,Terrorist attack,0.12185254559970522"
"Afghanistan,2013,GEOPHYSICAL,Earthquake,0.011827956989247311"
"Afghanistan,2013,TECHNOLOGICAL,Collapse (Industrial),0.016227180527383367"
"Afghanistan,2013,TECHNOLOGICAL,Road,0.000988843813387424"
"Albania,1979,GEOPHYSICAL,Earthquake,0.011827956989247311"
"Albania,1981,CONFLICTS,Terrorist attack,8.444389854449425e-05"
"Albania,1982,GEOPHYSICAL,Earthquake,0.011827956989247311"
"Albania,1985,CLIMATIC,Extreme temperature,0.014508138711960368"
"Albania,1985,CLIMATIC,Mass movement (wet),0.01284296555750146"
"Albania,1988,GEOPHYSICAL,Earthquake,0.011827956989247311"
"Albania,1989,CLIMATIC,Drought,0.013002364066193853"
"Albania,1990,CONFLICTS,Terrorist attack,8.444389854449425e-05"
"Albania,1991,CONFLICTS,Terrorist attack,8.444389854449425e-05"
"Albania,1991,ECOLOGICAL,Aquaculture,0.0660919540229885"
"Albania,1991,ECOLOGICAL,Fisheries,0.09788359788359789"
"Albania,1991,ECONOMIC,Currency Crises,0.0060307017543859654"
"Albania,1991,TECHNOLOGICAL,Fire (Industrial),0.011764705882352941"
"Albania,1992,CLIMATIC,Flood,0.0018537243006403776"
"Albania,1992,CONFLICTS,Terrorist attack,0.00025333169563348276"
"Albania,1992,ECOLOGICAL,Crops,0.08333333333333333"
"Albania,1992,ECONOMIC,Currency Crises,0.0060307017543859654"
"Albania,1993,CONFLICTS,Terrorist attack,0.0001688877970889885"
"Albania,1993,ECONOMIC,Currency Crises,0.0060307017543859654"
"Albania,1994,CONFLICTS,Terrorist attack,0.0001688877970889885"
"Albania,1994,ECONOMIC,Banking Crises,0.027046783625730996"
"Albania,1994,ECONOMIC,Currency Crises,0.0060307017543859654"
"Albania,1995,CLIMATIC,Flood,0.003707448601280755"
"Albania,1995,ECONOMIC,Currency Crises,0.0060307017543859654"
"Albania,1996,CONFLICTS,Terrorist attack,0.0005066633912669655"
"Albania,1996,ECOLOGICAL,Infectious disease,0.005054066760695816"
"Albania,1996,ECONOMIC,Currency Crises,0.0060307017543859654"
"Albania,1997,CLIMATIC,Flood,0.0018537243006403776"
"Albania,1997,CONFLICTS,Terrorist attack,0.0034621998403242646"
"Albania,1997,ECONOMIC,Currency Crises,0.0060307017543859654"
"Albania,1997,ECONOMIC,Debt Crises,0.04016064257028112"
"Albania,1998,CONFLICTS,Terrorist attack,0.0005911072898114598"
"Albania,1998,ECONOMIC,Currency Crises,0.0060307017543859654"
"Albania,1998,GEOPHYSICAL,Earthquake,0.011827956989247311"
"Albania,1999,CONFLICTS,Terrorist attack,0.00025333169563348276"
"Albania,1999,ECONOMIC,Currency Crises,0.0060307017543859654"
"Albania,2000,CONFLICTS,Terrorist attack,0.0001688877970889885"
"Albania,2000,ECONOMIC,Currency Crises,0.0060307017543859654"
"Albania,2001,CONFLICTS,Terrorist attack,8.444389854449425e-05"
"Albania,2001,ECONOMIC,Currency Crises,0.0060307017543859654"
"Albania,2002,CLIMATIC,Flood,0.0018537243006403776"
"Albania,2002,CLIMATIC,Storm,0.002355712603062426"
"Albania,2002,ECONOMIC,Currency Crises,0.0060307017543859654"
"Albania,2003,CONFLICTS,Terrorist attack,8.444389854449425e-05"
"Albania,2004,CLIMATIC,Extreme temperature,0.014508138711960368"
"Albania,2004,CLIMATIC,Flood,0.0018537243006403776"
"Albania,2004,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Albania,2004,TECHNOLOGICAL,Road,0.000988843813387424"
"Albania,2005,CLIMATIC,Flood,0.0018537243006403776"
"Albania,2005,CLIMATIC,Storm,0.002355712603062426"
"Albania,2005,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Albania,2006,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Albania,2007,CLIMATIC,Extreme temperature,0.014508138711960368"
"Albania,2007,CLIMATIC,Wildfire,0.02"
"Albania,2007,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Albania,2008,CONFLICTS,Intrastate conflict,0.0038705137227304713"
"Albania,2008,TECHNOLOGICAL,Explosion (Miscellaneous),0.011049723756906079"
"Albania,2008,TECHNOLOGICAL,Water,0.0020456019557950405"
"Albania,2009,CLIMATIC,Flood,0.0018537243006403776"
"Albania,2009,CONFLICTS,Intrastate conflict,0.0038705137227304713"
